"序号",名称,开始日期,结束日期,持续,完成,Cost,协调者,前置任务,Outline number,资源,网页连接,备注
340,动吧项目进度计划2017/12-2018/03月底,17-12-12,18-4-16,103,0,0,,,1,,,
76,"  2017/12",17-12-12,17-12-31,17,6,0,,,1.1,,,
121,"    店铺端、消费端、教练端、平台表结构设计及基础框架搭建",17-12-12,17-12-20,8,0,0,,,1.1.1,,,
201,"      店铺端、消费端、教练端、平台表结构设计",17-12-12,17-12-17,5,0,0,,,1.1.1.1,,,
202,"      基础框架搭建",17-12-18,17-12-20,3,0,0,,201,1.1.1.2,,,
77,"    店铺端后端主体基本开发完成（消费端需使用的）",17-12-21,17-12-24,3,5,0,,121,1.1.2,,,
97,"      基本信息",17-12-21,17-12-21,1,11,0,,,1.1.2.1,,,
98,"      店铺环境",17-12-21,17-12-21,1,11,0,,,1.1.2.2,,,
99,"      店铺认证",17-12-22,17-12-22,1,0,0,,97,1.1.2.3,,,
122,"      二维码标志",17-12-24,17-12-24,1,0,0,,99,1.1.2.4,,,
78,"    平台管理部分主要基础模块开发完成上线（店铺端需使用的）",17-12-25,17-12-29,5,20,0,,77,1.1.3,,,
123,"      平台参数管理",17-12-25,17-12-25,1,0,0,,,1.1.3.1,,,
125,"      角色权限管理",17-12-26,17-12-28,3,0,0,,123,1.1.3.2,,,
137,"      登录管理",17-12-29,17-12-29,1,100,0,,125,1.1.3.3,,,
431,"    完成公司相关所有域名注册（dber.com.cn）",17-12-31,17-12-31,1,0,0,,78,1.1.4,,,
73,"  2018/01",18-1-1,18-1-24,21,0,0,,76,1.2,,,
39,"    完成平台管理服务主要功能（店铺、消费、教练相关的）",18-1-1,18-1-2,2,0,0,,,1.2.1,,,
136,"      账号绑定管理",18-1-1,18-1-2,2,0,0,,76,1.2.1.1,,,
38,"    完成消费端主要后端服务",18-1-3,18-1-16,12,0,0,,,1.2.2,,,
155,"      登录管理",18-1-3,18-1-3,1,0,0,,39,1.2.2.1,,,
156,"      账号绑定或关联管理",18-1-4,18-1-4,1,0,0,,155,1.2.2.2,,,
158,"      真实会员头像管理",18-1-5,18-1-5,1,0,0,,156,1.2.2.3,,,
157,"      账户管理",18-1-7,18-1-12,6,0,0,,158,1.2.2.4,,,
164,"        充值管理",18-1-7,18-1-8,2,0,0,,158,1.2.2.4.1,,,
169,"        年卡管理",18-1-9,18-1-9,1,0,0,,164,1.2.2.4.2,,,
171,"        账单管理",18-1-10,18-1-10,1,0,0,,169,1.2.2.4.3,,,
170,"        年假管理",18-1-11,18-1-11,1,0,0,,171,1.2.2.4.4,,,
172,"        退款管理",18-1-12,18-1-12,1,0,0,,170,1.2.2.4.5,,,
165,"      店铺管理",18-1-14,18-1-14,1,0,0,,157,1.2.2.5,,,
159,"      店铺常规消费",18-1-15,18-1-16,2,0,0,,165,1.2.2.6,,,
40,"    成立成都动吧信息科技有限公司",18-1-17,18-1-24,7,0,0,,38,1.2.3,,,
184,"      成都各区高技公司政策优惠（财政补贴、场地提供、人才资金、税赋减免等）",18-1-17,18-1-17,1,0,0,,,1.2.3.1,,,
185,"      凑集注册资金及项目资金（20w）",18-1-18,18-1-19,2,0,0,,184,1.2.3.2,,,
186,"      租赁办公场地",18-1-21,18-1-23,3,0,0,,185,1.2.3.3,,,
187,"      工商登记注册",18-1-24,18-1-24,1,0,0,,186,1.2.3.4,,,
74,"  2018/02 年前",18-1-25,18-2-28,25,0,0,,73,1.3,,,
43,"    完成店铺端后端开发",18-1-25,18-2-4,9,0,0,,73,1.3.1,,,
110,"      店铺评级管理",18-1-25,18-1-26,2,0,0,,73,1.3.1.1,,,
115,"      年卡管理",18-1-28,18-1-28,1,0,0,,110,1.3.1.2,,,
118,"      实时拥挤度",18-1-29,18-1-29,1,0,0,,115,1.3.1.3,,,
111,"      盈利管理",18-1-30,18-2-1,3,0,0,,118,1.3.1.4,,,
112,"      账户管理",18-2-2,18-2-2,1,0,0,,111,1.3.1.5,,,
113,"      促销管理",18-2-4,18-2-4,1,0,0,,112,1.3.1.6,,,
45,"    完成消费端、公司主页、店铺UI设计",18-2-5,18-2-11,6,0,0,,43,1.3.2,,,
190,"      消费端UI设计",18-2-5,18-2-7,3,0,0,,43,1.3.2.1,,,
192,"      公司主页UI设计",18-2-8,18-2-9,2,0,0,,190,1.3.2.2,,,
193,"      店铺UI设计",18-2-11,18-2-11,1,0,0,,192,1.3.2.3,,,
107,"    完成消费端后端开发",18-2-12,18-2-12,1,0,0,,45,1.3.3,,,
177,"      评价管理",18-2-12,18-2-12,1,0,0,,45,1.3.3.1,,,
44,"    完成平台服务开发",18-2-13,18-2-28,9,0,0,,107,1.3.4,,,
179,"      平台账单核算",18-2-13,18-2-14,2,0,0,,107,1.3.4.1,,,
180,"      JOB管理",18-2-21,18-2-22,2,0,0,,179,1.3.4.2,,,
181,"      促销管理",18-2-23,18-2-25,2,0,0,,180,1.3.4.3,,,
229,"      统一支付(微信、支付宝、网银、QQ)",18-2-26,18-2-28,3,0,0,,181,1.3.4.4,,,
75,"  2018/02 年后",18-3-1,18-4-8,33,0,0,,74,1.4,,,
48,"    完成店铺端界面开发、并且上线店铺端",18-3-1,18-3-6,5,0,0,,74,1.4.1,,,
51,"    开发消费端移动端",18-3-7,18-3-23,15,0,0,,48,1.4.2,,,
49,"    公司主页开发及上线",18-3-25,18-3-27,3,0,0,,51,1.4.3,,,
52,"    完成销售招聘、绩效策略、培训等（5-10人）",18-3-28,18-4-1,4,0,0,,49,1.4.4,,,
194,"      制定初创阶段销售绩效政策（2-4月）",18-3-28,18-3-28,1,0,0,,49,1.4.4.1,,,
195,"      完成至少五位销售的招聘，并确保2月26前入职",18-3-29,18-4-1,3,0,0,,194,1.4.4.2,,,
53,"    联系地铁广告位租赁",18-4-2,18-4-8,6,0,0,,52,1.4.5,,,
196,"      制定租赁方案",18-4-2,18-4-2,1,0,0,,52,1.4.5.1,,,
197,"      寻求政府资源协助",18-4-3,18-4-5,3,0,0,,196,1.4.5.2,,,
198,"      谈判确保最低成本满足4月整月的租赁",18-4-6,18-4-8,2,0,0,,197,1.4.5.3,,,
81,"  2018/03 全月",18-4-9,18-4-16,7,0,0,,,1.5,,,
54,"    3月店铺销售目标500家",18-4-9,18-4-9,1,0,0,,75,1.5.1,,,
83,"    2018/03 上旬",18-4-9,18-4-12,4,0,0,,,1.5.2,,,
85,"      消费端移动端上线内测",18-4-9,18-4-9,1,0,0,,75,1.5.2.1,,,
86,"      招募线下消费端推广人员",18-4-10,18-4-12,3,0,0,,85,1.5.2.2,,,
87,"    2018/03 下旬",18-4-13,18-4-16,3,0,0,,,1.5.3,,,
89,"      在25前完成店铺端、消费端内测完善",18-4-13,18-4-13,1,0,0,,83,1.5.3.1,,,
90,"      27日所有平台正式上线",18-4-15,18-4-15,1,0,0,,89,1.5.3.2,,,
91,"      30日开始为期一个月的线下推广",18-4-16,18-4-16,1,0,0,,90,1.5.3.3,,,
511,后延工作,18-2-22,18-6-19,101,0,0,,,2,,,
514,"  研发人员招聘",18-2-22,18-5-3,61,0,0,,,2.1,,,
515,"    完移动端（2人）开发人员招聘",18-2-22,18-2-23,2,0,0,,,2.1.1,,,
516,"      确保最迟春节后或年前入职",18-2-22,18-2-23,2,0,0,,,2.1.1.1,,,
548,"    完成UI招聘",18-4-30,18-5-3,4,0,0,,,2.1.2,,,
549,"      制定初创期技术人员薪酬制度（1-5月）",18-4-30,18-4-30,1,0,0,,,2.1.2.1,,,
550,"      完成一名UI招聘并在月底前入职",18-5-1,18-5-3,3,0,0,,,2.1.2.2,,,
429,"  私教端开发",18-3-15,18-6-11,76,0,0,,,2.2,,,
50,"    开发私教端移动端",18-3-15,18-3-15,1,0,0,,,2.2.1,,,
191,"    私教端UI设计",18-5-8,18-5-9,2,0,0,,,2.2.2,,,
108,"    完成私教端后端开发",18-5-13,18-5-13,1,0,0,,,2.2.3,,,
153,"      评级管理",18-5-13,18-5-13,1,0,0,,,2.2.3.1,,,
154,"      评价管理",18-5-13,18-5-13,1,0,0,,,2.2.3.2,,,
84,"    私教端移动端上线内测",18-6-11,18-6-11,1,0,0,,,2.2.4,,,
579,"    私教服务消费管理",18-4-17,18-4-24,7,0,0,,,2.2.5,,,
580,"      健身计划服务",18-4-17,18-4-18,2,0,0,,,2.2.5.1,,,
581,"      技术指导课、特色课程课",18-4-19,18-4-22,3,0,0,,,2.2.5.2,,,
582,"      体验服务",18-4-23,18-4-23,1,0,0,,,2.2.5.3,,,
583,"      体能测试服务",18-4-24,18-4-24,1,0,0,,,2.2.5.4,,,
523,"  完成私教端主要后端服务",18-3-19,18-4-2,13,0,0,,,2.3,,,
524,"    登录管理(微信、QQ)",18-3-19,18-3-19,1,0,0,,,2.3.1,,,
525,"    账号绑定或关联管理",18-3-19,18-3-19,1,0,0,,,2.3.2,,,
527,"    店铺管理",18-3-19,18-3-19,1,0,0,,,2.3.3,,,
526,"    认证信息管理",18-3-20,18-3-20,1,0,0,,,2.3.4,,,
528,"    服务管理",18-3-21,18-3-29,8,0,0,,,2.3.5,,,
529,"      技术指导课、特色课程课、体验服务",18-3-21,18-3-23,3,0,0,,,2.3.5.1,,,
531,"      体能测试服务",18-3-21,18-3-21,1,0,0,,,2.3.5.2,,,
534,"      不良服务记录",18-3-21,18-3-21,1,0,0,,,2.3.5.3,,,
530,"      锻炼计划",18-3-25,18-3-26,2,0,0,,,2.3.5.4,,,
532,"      预约管理",18-3-27,18-3-28,2,0,0,,,2.3.5.5,,,
533,"      学员管理",18-3-29,18-3-29,1,0,0,,,2.3.5.6,,,
535,"    账户管理",18-3-30,18-4-1,2,0,0,,,2.3.6,,,
536,"    年假管理",18-4-2,18-4-2,1,0,0,,,2.3.7,,,
512,"  线下私教推广，三月底目标认证私教数500人",18-6-17,18-6-17,1,0,0,,,2.4,,,
540,"  私教1000人",18-6-18,18-6-18,1,0,0,,,2.5,,,
517,"  2018/05-06",18-6-19,18-6-19,1,0,0,,,2.6,,,
518,"    销售开辟新市场（北、上、深、武）",18-6-19,18-6-19,1,0,0,,,2.6.1,,,
519,"    技术扩招",18-6-19,18-6-19,1,0,0,,,2.6.2,,,
520,"    完善公司组织结构",18-6-19,18-6-19,1,0,0,,,2.6.3,,,
521,"    准备北、上、深、武系统上线",18-6-19,18-6-19,1,0,0,,,2.6.4,,,
522,"    成都市场，加盟店铺占全市店铺的50%，私教人数达到3000人，消费端达到50w",18-6-19,18-6-19,1,0,0,,,2.6.5,,,
571,"  消费端",18-4-6,18-5-14,33,0,0,,,2.7,,,
573,"    团购私教课",18-4-6,18-4-6,1,0,0,,,2.7.1,,,
596,"    教练管理",18-5-14,18-5-14,1,0,0,,,2.7.2,,,
92,2018/04,18-6-18,18-6-18,1,0,0,,,3,,,
62,"  地铁广告位为期一个月推广",18-6-18,18-6-18,1,0,0,,,3.1,,,
63,"  线下推广为期一个月，周末人流量密集商业区域推广、工作日园区推广",18-6-18,18-6-18,1,0,0,,,3.2,,,
64,"  店铺目标800家",18-6-18,18-6-18,1,0,0,,,3.3,,,
65,"  消费端用户量达到10w人",18-6-18,18-6-18,1,0,0,,,3.4,,,
